telecom, domain, first_ymd, last_ymd
SKT,babtoon.com,20181029,20181031
SKT,bugstoon.info,20181029,20181109
SKT,gazua02.com,20181029,20181109
SKT,monktoon.com,20181029,20181109
SKT,racetoon3.com,20181104,20181106
KT,monktoon.com,20181029,20181109
KT,torrentwo.com,20181030,20181101
KT,ttonga.com,20181029,20181109
LG,babtoon.com,20181029,20181031
LG,bugstoon.info,20181031,20181109
LG,gazua02.com,20181029,20181109
LG,monktoon.com,20181030,20181109
LG,racetoon3.com,20181106,20181106
LG,torrentwo.com,20181030,20181101
LG,ttonga.com,20181029,20181109
